gene	NN3_S1	NN3_S2	NN3_S3	NN9_S4	NN9_S5	NN9_S6
1	219	307	417	279	751	580
28	11	13	16	21	35	30
31	0	2	0	0	3	0
37	11	6	11	9	16	11
49	3	4	1	1	6	1
56	307	442	487	356	927	657
58	180	233	244	189	491	397
78	223	297	358	264	612	508
85	278	318	350	232	609	542
88	658	903	859	721	2072	1520
93	9	17	13	16	26	27
94	2	2	3	1	5	3
120	8	7	12	19	23	33
125	4	19	13	13	32	33
126	55	69	97	51	109	68
127	141	157	206	150	404	263
131	536	702	775	585	1480	1293
134	239	335	344	222	577	527
142	98	163	207	96	291	192
148	127	170	179	132	299	239
149	270	428	412	321	791	699
154	1	4	5	3	6	4
157	0	0	0	0	0	0
159	5	5	3	2	7	6
167	8	8	13	11	26	18
168	654	835	890	734	1944	1634
171	552	699	850	693	1820	1327
182	2	4	3	5	8	13
184	359	690	689	482	1220	1026
194	289	367	457	324	755	632
197	937	867	1215	935	2309	1971
202	66	101	57	58	143	97
204	0	0	0	0	4	0
214	10	10	6	2	24	19
215	0	0	0	0	0	0
216	2	2	4	1	4	3
223	612	702	881	552	1391	1264
244	1	0	1	0	1	3
247	330	502	415	322	947	690
248	0	0	0	0	0	0
253	398	446	467	397	1064	867
263	0	1	1	0	2	3
266	185	192	264	242	571	437
275	35	42	53	46	92	79
276	543	590	732	523	1455	1210
278	86	109	137	74	185	169
282	273	282	353	286	866	676
290	32	34	50	37	95	84
295	66	83	91	85	222	168
296	104	176	197	195	476	341
301	9	6	12	16	31	21
303	6	10	2	2	0	13
305	100	87	122	96	199	208
308	1621	1689	2033	1626	4042	3382
317	12	12	20	20	76	81
318	1	3	1	0	4	2
320	6	4	12	2	10	5
325	145	236	249	175	455	389
326	355	583	648	439	1098	868
339	314	341	383	336	997	781
340	132	226	249	172	465	322
346	668	935	1134	896	2370	1791
355	220	315	335	287	805	516
359	3	2	5	1	7	4
365	9	8	13	4	23	12
374	683	773	1025	726	1839	1603
378	244	301	352	280	664	564
381	0	0	0	0	0	0
384	184	239	283	207	474	414
385	1	0	1	0	1	3
386	1	0	0	1	6	1
392	5	1	7	3	9	5
394	0	0	0	0	0	2
399	714	843	975	804	2246	1677
402	32	27	45	20	104	75
409	10	10	12	18	32	33
411	0	0	0	0	2	0
416	1528	1635	2506	1318	3655	2569
420	271	390	479	338	887	688
439	162	259	295	222	549	381
440	7	13	10	14	28	24
441	435	633	669	529	1287	1106
486	2	4	4	4	6	6
489	170	209	285	179	445	384
530	56	79	112	96	253	251
531	279	402	455	331	937	703
532	588	648	799	615	1476	1352
538	1948	2220	2795	2057	5120	4544
552	272	345	289	282	646	525
555	7	16	17	20	42	59
560	430	427	519	372	1000	728
561	402	461	557	455	1049	839
562	2	3	4	5	9	5
563	1083	1443	1639	1293	3565	2521
567	141	187	170	138	226	191
568	1081	1318	1435	1204	3016	2480
581	224	300	373	281	725	532
594	403	617	605	440	1184	894
600	318	391	466	339	906	634
617	0	0	0	0	0	0
627	286	349	443	355	855	692
628	38	50	76	51	146	140
631	1127	1428	1545	1150	2966	2668
632	1765	1622	1743	1454	3341	3514
673	0	1	1	2	2	3
682	10	7	11	16	18	15
686	3	7	10	6	35	26
693	23	47	49	38	61	53
706	0	2	0	0	2	4
708	122	172	189	143	418	294
711	697	890	1022	804	2159	1737
724	0	0	1	0	1	0
730	0	5	1	1	2	1
731	2	2	3	4	4	4
732	43	103	106	127	252	213
738	356	443	451	346	945	791
739	11	10	14	10	27	30
740	34	53	57	30	110	83
743	617	716	884	646	1743	1473
751	432	506	585	506	1210	991
753	36	93	79	39	126	120
759	274	339	384	301	750	594
766	8	3	10	11	15	14
776	93	138	144	112	289	255
782	9	8	17	17	39	41
787	1779	2008	2680	1993	5938	4479
791	3	8	3	4	6	16
792	174	186	164	188	375	374
794	122	123	184	99	343	294
804	986	1163	1418	1130	3025	2400
805	182	408	334	215	630	522
811	18	23	26	21	81	77
817	0	0	1	2	2	0
826	2238	2488	3295	2413	5942	5063
827	292	439	432	394	1039	788
838	455	563	595	502	1311	948
861	674	836	871	746	1725	1452
869	0	0	0	0	0	0
876	57	78	97	63	160	128
881	1480	2141	2496	1588	4361	3411
884	24	29	32	31	64	63
889	1	3	7	4	6	2
901	11	9	11	8	21	17
902	337	420	450	310	826	752
903	1	1	0	1	0	0
915	380	562	510	483	1006	987
916	67	97	103	76	160	125
934	137	137	130	98	296	273
957	97	125	102	72	207	203
958	14	18	23	12	17	23
959	239	332	397	290	710	658
976	145	173	189	128	310	278
982	1	4	0	2	2	2
983	0	3	7	4	6	7
1014	6	7	10	2	23	12
1016	523	728	902	652	1727	1348
1017	871	1087	1236	974	2540	1912
1018	237	364	451	338	928	728
1020	5	14	17	15	41	25
1021	1	3	1	0	2	6
1023	0	0	0	0	1	0
1025	38	68	82	53	172	133
1027	0	0	2	0	2	0
1029	11	21	32	16	53	28
1034	121	187	218	141	317	248
1036	918	1294	1656	1032	2695	2343
1039	53	66	84	68	174	122
1052	358	453	528	404	940	816
1053	88	104	107	100	232	263
1054	318	411	465	357	870	680
1056	153	183	184	165	493	392
1062	298	367	389	285	667	645
1065	125	206	217	135	345	328
1076	0	0	0	1	0	0
1082	96	158	153	119	285	261
1089	871	1171	1403	917	2251	1848
1095	0	0	0	0	0	1
1098	381	475	532	382	1062	965
1100	573	812	808	659	1594	1325
1103	43	43	58	46	114	111
1105	209	301	339	279	740	537
1119	238	188	147	303	444	496
1120	274	365	339	292	774	651
1123	33	62	65	46	133	117
1127	943	1236	1420	1123	2957	2296
1128	72	115	94	33	135	87
1131	1	2	0	0	3	1
1134	9	14	21	11	31	36
1138	195	274	284	238	555	435
1143	280	335	391	277	749	578
1150	437	547	644	397	957	869
1151	246	296	387	270	637	605
1155	0	1	1	0	1	0
1156	146	168	231	160	396	278
1157	205	236	254	172	377	321
1158	181	274	279	207	608	460
1166	2	10	9	9	15	14
1173	549	640	807	616	1600	1293
1175	18222	21795	28660	20911	55694	42912
1211	1127	1510	1685	1234	2995	2438
1225	2	2	2	0	7	5
1227	662	823	816	716	1822	1663
1228	6	6	8	2	11	6
1229	436	545	499	423	962	913
1240	103	192	190	121	343	288
1247	27	50	42	21	102	76
1248	614	861	826	611	1522	1374
1249	3	9	11	15	14	17
1260	128	149	231	170	471	347
1270	4052	6115	5714	4518	10821	9563
1280	173	243	317	227	615	405
1281	2	5	9	3	9	5
1285	152	202	271	179	510	380
1288	77	75	90	50	161	109
1289	477	749	806	649	1966	1512
1300	336	295	338	311	593	566
1305	39	70	75	54	149	119
1313	252	313	306	219	610	543
1323	747	808	1114	807	2111	1570
1333	3	2	3	2	4	4
1334	628	900	990	695	1757	1531
1348	6	4	3	1	6	9
1349	4	25	4	2	8	27
1366	446	630	613	544	1390	1063
1380	603	777	790	631	1765	1496
1383	1221	1755	1938	1578	4326	3201
1403	0	3	3	2	2	4
1415	557	723	897	624	1676	1330
1416	705	915	1001	808	2257	1692
1418	190	268	301	206	476	426
1419	610	715	876	603	1588	1259
1420	2	3	3	2	5	0
1424	664	703	914	621	1522	1437
1435	22	42	29	22	58	50
1436	73	96	110	80	189	176
1440	1305	1570	1895	1418	3794	3048
1441	1235	1598	1483	1198	2881	2347
1444	0	2	1	0	1	0
1445	333	427	471	415	908	723
1467	400	512	689	497	1368	1057
1472	3626	4912	5310	3866	9702	8765
1473	5	9	7	3	18	21
1482	343	421	461	349	820	683
1493	3	8	10	12	25	26
1494	0	0	0	0	0	0
1496	1	3	3	0	3	2
1497	0	0	0	0	1	0
1504	1	0	1	0	0	0
1506	27	50	35	20	34	38
1507	114	131	119	94	274	271
1508	4	4	3	0	6	9
1510	0	0	0	0	0	1
1517	2	8	15	6	23	21
1518	108	122	159	120	272	233
1520	135	179	205	170	363	250
1521	127	176	148	118	321	255
1524	77	110	110	76	216	169
1525	2465	3431	3489	2483	6187	6014
1542	175	200	213	148	370	343
1552	169	220	184	160	327	281
1555	40	78	73	63	108	99
1558	1	0	4	2	1	1
1569	180	235	266	224	547	491
1576	620	813	847	653	1610	1524
1583	0	0	1	1	2	2
1588	0	0	1	1	1	0
1604	4	4	2	3	3	7
1627	243	328	290	213	929	654
1630	174	200	274	183	554	445
1632	269	322	446	255	682	566
1642	2	5	1	4	7	2
1661	0	0	0	0	0	0
1663	32	43	49	57	117	88
1665	6	17	22	21	57	41
1666	79	135	174	115	299	236
1670	1	0	0	0	2	0
1672	0	1	1	3	4	3
1674	71	57	80	64	155	110
1687	941	1207	1285	1003	2611	2104
1700	104	173	162	151	308	204
1707	142	167	192	143	387	323
1729	968	1261	1500	1063	2782	2519
1739	1	3	0	2	2	1
1741	160	282	431	197	761	565
1750	83	140	122	105	248	234
1751	46	78	75	47	116	113
1755	138	186	196	165	344	303
1761	87	141	174	128	341	275
1763	111	126	154	128	364	301
1767	131	189	208	158	379	270
1768	167	285	388	251	955	683
1773	51	55	75	35	167	105
1774	422	557	468	418	1038	719
1783	764	849	1020	853	2197	1744
1785	151	182	233	167	430	282
1786	136	206	185	203	523	404
1794	801	1208	1224	937	2319	1918
1802	457	527	596	468	1165	982
1804	0	0	0	0	0	0
1827	1	8	0	1	9	4
1829	262	312	393	308	680	651
1833	2430	2977	3273	2975	7619	6106
1844	140	171	196	145	373	319
1847	1812	2593	2732	2155	5876	4661
1855	257	305	451	302	655	629
1864	76	81	114	55	195	145
1865	0	1	0	0	0	0
1870	42	58	71	39	123	124
1891	566	795	882	703	1851	1456
1901	13	11	6	9	26	22
1909	394	464	521	399	939	768
1910	750	906	1000	766	1993	1729
1911	1502	1784	1950	1626	3976	3182
1918	12	22	15	14	38	42
1924	2712	3355	3858	2584	6057	5909
1930	64	101	153	69	313	270
1942	111	144	212	126	326	235
1943	9	17	17	17	43	40
1946	73	121	159	94	309	295
1948	9	19	16	12	40	37
1962	162	209	202	189	498	401
1964	182	247	304	274	943	816
1983	71	87	102	83	186	154
1985	426	433	477	391	882	812
1986	2081	2144	2839	2215	5560	4393
1988	81	96	70	76	196	182
1995	335	484	632	428	1303	805
1998	150	157	179	107	310	226
1999	79	91	120	93	250	169
2006	878	1077	1057	875	2461	2035
2007	27	33	51	34	95	79
2010	744	1068	1223	953	2387	1856
2012	449	476	590	488	1265	1079
2014	201	258	296	240	677	537
2015	311	451	481	410	1054	785
2017	292	299	366	261	640	538
2020	1	1	1	0	5	6
2028	1315	1299	1914	1274	3040	2637
2031	213	266	338	270	648	501
2032	314	435	462	316	816	740
2033	0	0	0	0	2	0
2043	19	45	50	35	82	71
2052	1648	2184	2661	1682	4336	3749
2055	42	68	74	43	143	106
2057	1	0	0	1	0	0
2058	141	182	159	147	380	354
2059	117	176	169	136	374	319
2064	293	352	440	338	904	658
2068	76	97	119	84	256	168
2076	3	3	0	1	3	1
2083	30	43	48	29	115	94
2100	3	2	1	0	3	5
2102	893	1282	1377	1105	2852	2231
2103	703	851	962	770	2028	1592
2104	2	4	1	1	5	6
2105	139	200	159	126	275	287
2107	3543	4296	5358	3786	9506	7602
2108	21	28	24	12	47	26
2109	77	106	118	73	213	160
2111	14	30	27	21	45	28
2129	390	540	535	444	924	741
2147	57	78	110	63	153	148
2190	64	67	77	65	153	142
2204	1	1	0	0	1	0
2205	132	188	207	155	364	287
2210	173	175	224	163	331	342
2221	283	335	396	292	781	654
2222	892	1185	1530	1070	2856	2158
2227	77	77	83	66	172	146
2228	0	1	2	3	8	5
2233	63	103	82	75	171	162
2249	12	17	21	8	29	34
2250	93	152	145	137	302	245
2257	9	17	10	10	45	39
2265	1813	1533	2288	1414	3509	3133
2266	10	24	25	10	57	35
2274	204	320	278	228	628	468
2279	99	126	109	90	224	181
2280	166	153	203	181	470	387
2289	13	34	11	5	20	19
2297	11	6	12	10	29	27
2307	105	158	191	138	366	291
2308	68	94	118	85	168	123
2319	476	615	589	499	1081	962
2320	200	249	327	213	496	459
2324	11	12	21	14	25	23
2325	70	95	85	74	169	93
2326	113	163	147	135	359	255
2329	270	333	374	326	824	645
2332	361	471	523	396	1127	879
2341	1282	1599	1905	1161	3050	2475
2342	167	213	226	151	438	348
2343	164	204	198	175	403	356
2346	201	278	299	217	477	377
2365	50	79	101	67	179	131
2372	437	618	718	508	1338	1157
2379	315	456	512	382	1023	867
2384	2	2	3	1	4	3
2393	90	105	115	97	309	235
2395	255	376	446	391	931	742
2396	34	27	40	34	74	72
